File Name,Attribute,Delimiter,Data Type,Related Values,Documented Data Description,Screen ID,Fld,Screen Title,PADP Label,Field Label,Validation File,PADP Table,PADP Column,Personally Identifiable Information,File Notes,,,,,
ACCRUALS,14.0,,N,,Reversal of Accrual - Reversal Period,GLS2.S128,17,ACCRUALS,Reverse Period,Reverse Period,,accruals,reverse_period,,Reference File,,,,,
ACCRUALS,15.0,,N2,M1,DR Amount,GLS2.S128,7,ACCRUALS,DR Amount,DR Amount,,accruals,dr_amount,,Reference File,,,,,
ACCRUALS,16.0,,X,,Description for Accrual To be used in HELP.LIST selection screen,GLS2.S128,2,ACCRUALS,Description,Description,,accruals,description,,Reference File,,,,,
ACCRUALS,17.0,,X,,Creditor category,GLS2.S128,,ACCRUALS,Creditor category,Creditor category,GLS.CATEGORY,accruals,creditor_category,,Reference File,,,,,
ACCRUALS-ERROR,0.0,,X,,AUTO-NUMBER,,,,Accrual Error No,Accrual Error No,,accruals_error,,,,,,,,
ACCRUALS-ERROR,1.0,,X,,LEDGER-CODE,,,,Ledger Code,Ledger Code,LEDGER,accruals_error,ledger_code,,,,,,,
ACCRUALS-ERROR,2.0,,N,,TRANSACTION AMOUNT,,,,Transaction Amount,Transaction Amount,,accruals_error,transaction_amount,,,,,,,
ACCRUALS-ERROR,3.0,,X,,GOODS-RECEIVED NUMBER (GRN),,,,GRN,GRN,DELIVERY,accruals_error,grn,,,,,,,
ACCRUALS-ERROR,4.0,,X,,PURCHASE-ORDER NUMBER,,,,PO No,PO No,PURCHASE-REQ-1,accruals_error,po_no,,,,,,,
ACCRUALS-ERROR,5.0,,X,,REQUISITION NUMBER,,,,Requisition No,Requisition No,PURCHASE-REQ,accruals_error,requisition_no,,,,,,,
ACCRUALS-ERROR,6.0,,D,,REQUISITION DATE,,,,Requisition Date,Requisition Date,,accruals_error,requisition_date,,,,,,,
ACCRUALS-ERROR,7.0,,D,,DELIVERY DATE,,,,Delivery Date,Delivery Date,,accruals_error,delivery_date,,,C,,,,
ACCRUALS-ERROR,8.0,,X,,PROCESS TYPE - D = uninvoiced delivery P = incomplete purchase orders,,,,Process Type,Process Type,,accruals_error,process_type,,,,,,,
ACCRUALS-ERROR,9.0,,N,,MESSAGE NUMBER,,,,Message No,Message No,MSG.FILE,accruals_error,message_no,,,,,,,
ACCRUALS-ERROR,10.0,,X,M1,MESSAGE PARAMETERS,,,,Message Parameters,Message Parameters,,accruals_error,message_parameters,,,,,,,
ACC-VARIATIONS,0.0,,X,,"Admission Number (Verified by ADMISSIONS. if Admission is cancelled or moved, the attributes will be cleared and only the key will be retained)

File NOTE: This file acts a sorted audit of previous variations. If there are multiple IDs for a particular admission, earlier transactions will be outdated. Transactions are deleted from the file after 6 months.",DEBT2.S288,1,Account Variation Entry,Patient Number,Patient Number,,acc_variations,,,,C,,,,
ACC-VARIATIONS,1.0,,A,M,Date  Time  Who  Operator ,,,,Filed,Filed,OPERATORS,acc_variations,filed,,,C,,,,
ACC-VARIATIONS,2.0,,N2,M1,"Fees raised Before/After (where Before values are reported first then After values appended)

Before Fees Raised can be negative to indicate a reversal of fees x bed days at that account class",,,,Fees raised Before/After ,Fees raised Before/After ,,acc_variations,fees_raised_before_after,,,,,,,
ACC-VARIATIONS,3.0,,N,M1,"Bed Days

Bed Days can be negative to indicate a reversal of account class",,,,Bed Days Before/After,Bed Days ,,acc_variations,bed_days_before_after,,,C,,,,
ACC-VARIATIONS,4.0,,X,,NOT USED,,,,NOT USED,NOT USED,,acc_variations,not_used4,,,C,,,,
ACC-VARIATIONS,5.0,,X,,NOT USED,,,,NOT USED,NOT USED,,acc_variations,not_used5,,,,,,,
ACC-VARIATIONS,6.0,,N2,M3,Refunds ,,,,Refunds ,Refunds ,,acc_variations,refunds,,,,,,,
ACC-VARIATIONS,7.0,,N2,M4,Receipts ,,,,Receipts ,Receipts ,,acc_variations,receipts,,,C,,,,
ACC-VARIATIONS,8.0,,X,,NOT USED,,,,NOT USED,NOT USED,,acc_variations,not_used8,,,,,,,
ACC-VARIATIONS,9.0,,N2,M5,Journal Debits,,,,Journal Debits,Journal Debits,,acc_variations,journal_debits,,,C,,,,
ACC-VARIATIONS,10.0,,N2,M6,Journal Credits ,,,,Journal Credits ,Journal Credits ,,acc_variations,journal_credits,,,,,,,
ACC-VARIATIONS,11.0,,X,M1,Account class code Before/After (where Before values are reported first then After values appended),DEBT2.S288,3,Account Variation Entry,Account Class Before/After,Account Class,RATES,acc_variations,account_class_before_after,,,,,,,
ACC-VARIATIONS,12.0,,X,M,Comments ,,,,Comments ,Comments ,,acc_variations,comments,,,C,,,,
ACC-VARIATIONS,13.0,,N2,M7,Accomodation Rate Before/After (where Before values are reported first then After values appended),DEBT2.S288,4,Account Variation Entry,Bed Fee Before/After,Bed Fee,,acc_variations,bed_fee_before_after,,,,,,,
ACC-VARIATIONS,14.0,,D,M8,Dates specifically affected by the ACC variations inserts or modifications,,,,Dates affected by variations,Dates affected by variations,,acc_variations,dates_affected_by_variations,,,C,,,,
ACC-VARIATIONS,15.0,,N2,M1,"Rebate Amount Before/After (where Before values are reported first then After values appended)
This field may contain Inferred Nulls (refer to info tab)",DEBT2.S288,5,Account Variation Entry,Rebate Before/After,Rebate,,acc_variations,rebate_before_after,,,,,,,
ACC-VARIATIONS,16.0,,D,M2,Date of Variation Before/After (where Before values are reported first then After values appended),DEBT2.S288,2,Account Variation Entry,Date Before/After,Date,,acc_variations,date_before_after,,,,,,,
ACC-VARIATIONS,17.0,,X,M2,Account Class Old/New ,DEBT2.S288,3,Account Variation Entry,Account Class Old/New ,Account Class,,acc_variations,account_class_old_new,,,,,,,
ACC-VARIATIONS,18.0,,N2,M2,Accommodation Rate Old/New ,DEBT2.S288,4,Account Variation Entry,Bed Fee Old/New,Bed Fee,,acc_variations,bed_fee_old_new,,,,,,,
ACC-VARIATIONS,19.0,,N,M2,"Bed Days Old/New
Bed Days can be negative to indicate a reversal of account class",,,,Bed Days Old/New ,Bed Days Old/New ,,acc_variations,bed_days_old_new,,,,,,,
ACC-VARIATIONS,20.0,,N2,M2,"Fees Raised (18*19)
Fees Raised can be negative to indicate a reversal of fees x bed days at that account class",,,,Fees Raised,Fees Raised,,acc_variations,fees_raised,,,,,,,
ACC-VARIATIONS,21.0,,X,M2,"Comments Before/After (only reports affected lines in the M2 loop). Does not report updates when replacing/updating an existing comment
This field may contain Inferred Nulls (refer to info tab)",DEBT2.S288,7,Account Variation Entry,Comment Before/After,Comment,,acc_variations,comment_before_after,,,,,,,
ACTIVE-TRANSFER,0.0,,X,,Department Code,,,,Department Code,Department Code,,active_transfer,,,Audit File,,,,,
ACTIVE-TRANSFER,1.0,,X,,All Attributes 1+ are th ids of Unprinted Transfers,,,,Unprinted Transfers IDs,Unprinted Transfers IDs,,active_transfer,unprinted_transfers_ids,,Audit File,,,,,
ADJUSTMENT,0.0,,X,,Adjustment number generated by AUTO.NUM,SUP2.S52,1,FINANCIAL ADJUSTMENTS ENTRY,Journal No.,Journal No.,,adjustment,,,,,,,,
ADJUSTMENT,1.0,,A,M,"Date, Time, Who, Operator",SUP2.S52,,FINANCIAL ADJUSTMENTS ENTRY,Filed,Filed,OPERATORS,adjustment,filed,,,,,,,
ADJUSTMENT,1.0,,A,M,"Date, Time, Who, Operator",SUP2.S52,,FINANCIAL ADJUSTMENTS ENTRY,Filed,Filed,OPERATORS,adjustment,filed,,,,,,,
ADJUSTMENT,2.0,,D,,DATE Effective Date,SUP2.S52,2,FINANCIAL ADJUSTMENTS ENTRY,Effective Date,Effective Date,,adjustment,effective_date,,,,,,,
ADJUSTMENT,3.0,,X,,ISS.DEPT Department Giving Adjustment,SUP2.S52,3,FINANCIAL ADJUSTMENTS ENTRY,Cost Cntr.,Cost Cntr.,DEPT,adjustment,cost_cntr,,,,,,,
ADJUSTMENT,4.0,,X,,RECV.DEPT Department Receiving Adjustment,SUP2.S52,4,FINANCIAL ADJUSTMENTS ENTRY,To C/C.,To C/C.,DEPT,adjustment,to_c_c,,,,,,,
ADJUSTMENT,5.0,,X,M1,EXPENSE Expense Code,SUP2.S52,5,FINANCIAL ADJUSTMENTS ENTRY,Expense Code,Expense Code,EXPENSE,adjustment,expense_code,,,,,,,
ADJUSTMENT,6.0,,N4,M1,AMOUNT Amount,SUP2.S52,6,FINANCIAL ADJUSTMENTS ENTRY,Amount,Amount,,adjustment,amount,,,,,,,
ADJUSTMENT,7.0,,X,M1,Narration,SUP2.S52,7,FINANCIAL ADJUSTMENTS ENTRY,Narration,Narration,,adjustment,narration,,,,,,,
ADJUSTMENT-AUDIT,0.0,,X,,Adjustment Audit ID,,,,Audit ID,Audit ID,,adjustment_audit,,,Audit File,,,,,
ADJUSTMENT-AUDIT,1.0,,A,M,"Operator stamp Date:,:time:,:who:,:operator",,,,Filed,Filed,OPERATORS,adjustment_audit,filed,,Audit File,,,,,
ADJUSTMENT-AUDIT,2.0,,X,M,"Attribute number, old value of attribute, new value of attribute",,,,Attributes Updated,Attributes Updated,,adjustment_audit,attributes_updated,,Audit File,,,,,
ADL.SUBTYPE.CODE,0.0,,X,,ADL Sub-Type Code,ADM2.S529,1,ADL Sub Type Codes,ADL Sub Type Code,ADL Sub Type Code,,adl_subtype_code,,,Reference File,,,,,
ADL.SUBTYPE.CODE,1.0,,A,M,Date  Time  Who  Operator  ,ADM2.S529,,ADL Sub Type Codes,Filed,Filed,,adl_subtype_code,filed,,Reference File,,,,,
ADL.SUBTYPE.CODE,2.0,,X,,Description ,ADM2.S529,2,ADL Sub Type Codes,Description,Description,,adl_subtype_code,description,,Reference File,,,,,
ADL.SUBTYPE.CODE,3.0,,D,,Start Date ,ADM2.S529,3,ADL Sub Type Codes,Start Date,Start Date,,adl_subtype_code,start_date,,Reference File,,,,,
ADL.SUBTYPE.CODE,4.0,,D,,End Date ,ADM2.S529,4,ADL Sub Type Codes,End Date,End Date,,adl_subtype_code,end_date,,Reference File,,,,,
ADL.SUBTYPE.CODE,5.0,,X,M1,Replaced Code ,ADM2.S529,5,ADL Sub Type Codes,Replaced Code,Replaced Code,ADL.SUBTYPE.CODE,adl_subtype_code,replaced_code,,Reference File,,,,,
ADL.SUBTYPE.CODE,6.0,,X,,Replaced By Code ,,,,Replaced By,Replaced By,ADL.SUBTYPE.CODE,adl_subtype_code,replaced_by,,Reference File,,,,,
