File Name,Attribute,Delimiter,Data Type,Related Values,Documented Data Description,Screen ID,Fld,Screen Title,PADP Label,Field Label,Validation File,PADP Table,PADP Column,Personally Identifiable Information,File Notes,,,,,
APP-REFERRAL,45.0,,X,,Category Code,,,,Category Code,Category Code,,app_referral,category_code,,Not Extracted,,,,,
APP-REFERRAL,46.0,,X,,Category Code Description,,,,Category Code Description,Category Code Description,,app_referral,category_code_description,,Not Extracted,,,,,
APP-REFERRAL,47.0,,X,,Arrived Barcode,,,,Arrived Barcode,Arrived Barcode,,app_referral,arrived_barcode,,Not Extracted,,,,,
APP-REFERRAL,48.0,,X,,Registration Referral Doctor Address Line 3,,,,Registration Referral Dr Address3,Registration Referral Dr Address3,,app_referral,registration_referral_dr_address3,,Not Extracted,,,,,
APP-REFERRAL,49.0,,X,,Clinic Details - Hospital Name,,,,Clinic Details - Hospital Name,Clinic Details - Hospital Name,,app_referral,clinic_details_hospital_name,,Not Extracted,,,,,
APP-REFERRAL,50.0,,X,,Clinic Details - Location,,,,Clinic Details - Location,Clinic Details - Location,,app_referral,clinic_details_location,,Not Extracted,,,,,
APP-REFERRAL,51.0,,X,,Clinic Details - Phone,,,,Clinic Details - Phone,Clinic Details - Phone,,app_referral,clinic_details_phone,,Not Extracted,,,,,
APP-REFERRAL,52.0,,X,,Clinic Details - Fax,,,,Clinic Details - Fax,Clinic Details - Fax,,app_referral,clinic_details_fax,,Not Extracted,,,,,
APP-REFERRAL,53.0,,X,,Clinic Details - Special Instructions,,,,Clinic Details - Special Instructions,Clinic Details - Special Instructions,,app_referral,clinic_details_special_instructions,,Not Extracted,,,,,
APP-REFERRAL,54.0,,X,,Medicare No & ID (separated by/) if no Medicare recorded will display Medicare Suffix,,,,Medicare No & ID or Suffix,Medicare No & ID or Suffix,,app_referral,medicare_no_id_or_suffix,,Not Extracted,,,,,
APP-REFERRAL,55.0,,X,,Medicare Expiry,,,,Medicare Expiry,Medicare Expiry,,app_referral,medicare_expiry,,Not Extracted,,,,,
APP-REFERRAL,56.0,,X,,Health Fund,,,,Health Fund,Health Fund,,app_referral,health_fund,,Not Extracted,,,,,
APP-REFERRAL,57.0,,X,,Health Fund Description,,,,Health Fund Description,Health Fund Description,,app_referral,health_fund_description,,Not Extracted,,,,,
APP-REFERRAL,58.0,,X,,Health Schedule (not Qld),,,,Health Schedule,Health Schedule,,app_referral,health_schedule,,Not Extracted,,,,,
APP-REFERRAL,59.0,,X,,Provider Number (Appt Doctor),,,,Provider Number (Appt Doctor),Provider Number (Appt Doctor),,app_referral,provider_number_appt_doctor,,Not Extracted,,,,,
APP-REFERRAL,60.0,,X,,Provider number (Registration Referral Doctor),,,,Provider number (Registration Referral Doctor),Provider number (Registration Referral Doctor),,app_referral,provider_number_registration_referral_doctor,,Not Extracted,,,,,
APP-REFERRAL,61.0,,X,,Appointment Status,,,,Appointment Status,Appointment Status,,app_referral,appointment_status,,Not Extracted,,,,,
APP-REFERRAL,62.0,,X,,Registration Fax number,,,,Registration Fax number,Registration Fax number,,app_referral,registration_fax_number,,Not Extracted,,,,,
APP-REFERRAL,63.0,,D,,Date Referral Received,,,,Date Referral Received,Date Referral Received,,app_referral,date_referral_received,,Not Extracted,,,,,
APP-REFERRAL,64.0,,X,,Referral Clinic Code,,,,Referral Clinic Code,Referral Clinic Code,,app_referral,referral_clinic_code,,Not Extracted,,,,,
APP-REFERRAL,65.0,,X,,Referral Clinic Location Code,,,,Referral Clinic Location Code,Referral Clinic Location Code,,app_referral,referral_clinic_location_code,,Not Extracted,,,,,
APP-REFERRAL,66.0,,X,,SSRID Number,,,,SSRID Number,SSRID Number,,app_referral,ssrid_number,,Not Extracted,,,,,
APP-REFERRAL,67.0,,X,,Patient Mobile Number,,,,Patient Mobile Number,Patient Mobile Number,,app_referral,patient_mobile_number,,Not Extracted,,,,,
APP-REFERRAL,68.0,,X,,patient email address,,,,patient email address,patient email address,,app_referral,patient_email_address,,Not Extracted,,,,,
APP-REGISTER,0.1,:,X,,Clinic Code,,,,Clinic Code,Clinic Code,,app_register,,,,,,,,
APP-REGISTER,0.2,:,X,,Doctor Code,,,,Doctor Code,Doctor Code,,app_register,,,,,,,,
APP-REGISTER,0.3,:,D,,Appt Date,,,,Appt Date,Appt Date,,app_register,,,,,,,,
APP-REGISTER,1.0,,T,M1,Appt Time  ,,,,Appt Time  ,Appt Time  ,,app_register,appt_time,,,,,,,
APP-REGISTER,2.0,,X,M1,Appt Type  ,,,,Appt Type  ,Appt Type  ,TYPES,app_register,appt_type,,,,,,,
APP-REGISTER,3.0,,X,M1,"#Appt.Slots  
This field may contain Inferred Nulls (refer to info tab)",,,,No. Appt Slot,Appt Slot,,app_register,no_appt_slot,,,,,,,
APP-REGISTER,4.0,,X,M1,"#Bookings  
This field may contain Inferred Nulls (refer to info tab)",,,,No. Bookings,Booking,,app_register,no_bookings,,,,,,,
APP-REGISTER,5.0,,X,M1,"#Cancellations  
This field may contain Inferred Nulls (refer to info tab)",,,,No. Cancellation,Cancellation,,app_register,no_cancellation,,,,,,,
APP-REGISTER,6.0,,X,M1,"#Moved/Altered  
This field may contain Inferred Nulls (refer to info tab)",,,,No. Moved/Altered,Moved/Altered,,app_register,no_moved_altered,,,,,,,
APP-REGISTER,7.0,,X,M1,"#Fail to Attend  
This field may contain Inferred Nulls (refer to info tab)",,,,No. Fail to Attend,Fail to Attend,,app_register,no_fail_to_attend,,,,,,,
APP-REGISTER,8.0,,X,M1,"#Attendance  
This field may contain Inferred Nulls (refer to info tab)",,,,No. Attendance  ,Attendance  ,,app_register,no_attendance,,,,,,,
APP-REGISTER,9.0,,X,M,"CLOSED if closed. M/Valued per time slot. After archiving - Date]Time]Initials 
Note: complex data type X to A. Transformations of date/time in audit stamp will need to occur at ODS layer if required",,,,Closed,Closed,,app_register,closed,,,,,,,
APP-REGISTER,10.0,,X,M,Remarks relating to timeslots where closed. In multivalued assoication with attr 9. Remarks relating to closed appts in attr 25 also here. Replaced with archive comment after archiving,,,,Closed Appointment Comment,Closed Appointment Comment,,app_register,closed_appointment_comment,,,,,,,
APP-REGISTER,11.0,,T,,Start Time  ,,,,Start Time  ,Start Time  ,,app_register,start_time,,,,,,,
APP-REGISTER,12.0,,T,,Finish Time ,,,,Finish Time  ,Finish Time  ,,app_register,finish_time,,,,,,,
APP-REGISTER,13.0,,X,M,"Daily Appt Lists type 1 run on Date]Time
Note: values in this attribute are not transformed due to complex data type. Transformation will need to occur at ODS layer.",,,,Type 1 Appointment Date/Time,Type 1 Appointment Date/Time,,app_register,type_1_appointment_date_time,,,,,,,
APP-REGISTER,14.0,,X,M,"Daily Appt Lists type 2 run on Date]Time
Note: values in this attribute are not transformed due to complex data type. Transformation will need to occur at ODS layer.",,,,Type 2 Appointment Date/Time,Type 2 Appointment Date/Time,,app_register,type_2_appointment_date_time,,,,,,,
APP-REGISTER,15.0,,X,M,"Daily Appt Lists type 3 run on Date]Time
Note: values in this attribute are not transformed due to complex data type. Transformation will need to occur at ODS layer.",,,,Type 3 Appointment Date/Time,Type 3 Appointment Date/Time,,app_register,type_3_appointment_date_time,,,,,,,
APP-REGISTER,16.0,,X,M2,Types Entered via the Attendance Totals Entry screen ,APP2.S57,4,Attendance Total Entry,Attendance Type,Attendance Type,TYPES,app_register,attendance_type,,,,,,,
APP-REGISTER,17.0,,X,M2,#Appointments Entered via the Attendance Totals Entry screen ,APP2.S57,5,Attendance Total Entry,No. Appointments Entered via Att. Totals,Appointment Totals,,app_register,no_appointments_entered_via_att_totals,,,,,,,
APP-REGISTER,18.0,,X,M2,#Bookings Entered via the Attendance Totals Entry screen ,APP2.S57,6,Attendance Total Entry,No. Bookings Entered via Att. Totals,Booked Totals,,app_register,no_bookings_entered_via_att_totals,,,,,,,
APP-REGISTER,19.0,,X,M2,#Attendances Entered via the Attendance Totals Entry screen ,APP2.S57,7,Attendance Total Entry,No. Attendances Entered via Att. Totals,Attend Totals,,app_register,no_attendances_entered_via_att_totals,,,,,,,
APP-REGISTER,20.0,,A,M,Date Stamp  ,,,,Filed,Filed,OPERATORS,app_register,filed,,,,,,,
APP-REGISTER,21.0,,X,M,"Date]Time stamp of running Daily appointments list by location by time by Patient no. 
Note: values in this attribute are not transformed due to complex data type. Transformation will need to occur at ODS layer.",,,,Appointment List1 Audit,Appointment List1 Audit,OPERATORS,app_register,appointment_list1_audit,,,,,,,
APP-REGISTER,22.0,,X,M,"Date ] Time of running Daily appointments list by location by name 
Note: values in this attribute are not transformed due to complex data type. Transformation will need to occur at ODS layer.",,,,Appointment List2 Audit,Appointment List2 Audit,,app_register,appointment_list2_audit,,,,,,,
APP-REGISTER,23.0,,X,M,"Date ] Time of running Daily appointments list by location by term digit 
Note: values in this attribute are not transformed due to complex data type. Transformation will need to occur at ODS layer.",,,,Appointment List3 Audit,Appointment List3 Audit,,app_register,appointment_list3_audit,,,,,,,
APP-REGISTER,24.0,,X,,Message for use when Clinic has been closed. Will be used via the MSG process. ,,,,Clinic  Closed Message,Clinic  Closed Message,,app_register,clinic_closed_message,,,,,,,
APP-REGISTER,25.0,,X,M1,"Number of Appointments closed for a timeslot where the entire slot has not been closed. When the entire slot is closed. Attribute 9 contains ""CLOSED"".
This field may contain Inferred Nulls (refer to info tab)",,,,No. Appts closed per timeslot,No Appts closed per timeslot,,app_register,no_appts_closed_per_timeslot,,,,,,,
APP-REGISTER,26.0,,X,M,"Imaging Daily appt list type 1 run on Date]Time  
Note: values in this attribute are not transformed due to complex data type. Transformation will need to occur at ODS layer.",,,,Daily Imaging Appt List1 Audit,Daily Imaging Appt List1 Audit,,app_register,daily_imaging_appt_list1_audit,,,,,,,
APP-REGISTER,27.0,,X,M,"Imaging Daily appt list type 2 run on Date]Time  
Note: values in this attribute are not transformed due to complex data type. Transformation will need to occur at ODS layer.",,,,Daily Imaging Appt List2 Audit,Daily Imaging Appt List2 Audit,,app_register,daily_imaging_appt_list2_audit,,,,,,,
APP-REGISTER,28.0,,X,M,"Imaging Daily appt list type 3 run on Date]Time  
Note: values in this attribute are not transformed due to complex data type. Transformation will need to occur at ODS layer.",,,,Daily Imaging Appt List3 Audit,Daily Imaging Appt List3 Audit,,app_register,daily_imaging_appt_list3_audit,,,,,,,
APP-REGISTER,29.0,,X,M1,"#Did Not Wait  
This field may contain Inferred Nulls (refer to info tab)",,,,No. Did Not Wait  ,Did Not Wait  ,,app_register,no_did_not_wait,,,,,,,
ARRIVAL-METHOD,0.0,,X,,Arrival Method Code,EMG2.S17,1,Arrival Method Codes,Arrival Method,Arrival Method,,arrival_method,,,Reference File,,,,,
ARRIVAL-METHOD,1.0,,A,M,Date  Time  Who  Operator ,EMG2.S17,,Arrival Method Codes,Filed,Filed,OPERATORS,arrival_method,filed,,Reference File,,,,,
ARRIVAL-METHOD,2.0,,X,,Description ,EMG2.S17,2,Arrival Method Codes,Description,Description,,arrival_method,description,,Reference File,,,,,
ARRIVAL-METHOD,3.0,,D,,Start Date ,EMG2.S17,3,Arrival Method Codes,Start Date,Start Date,,arrival_method,start_date,,Reference File,,,,,
ARRIVAL-METHOD,4.0,,D,,End Date ,EMG2.S17,4,Arrival Method Codes,End Date,End Date,,arrival_method,end_date,,Reference File,,,,,
ASR.AUDIT,0.0,,X,,The key is an auto number,,,,Audit Number,Audit Number,,asr_audit,,,,,,,,
ASR.AUDIT,1.0,,X,,The asset number being added or deleted,,,,Asset Number,Asset Number,ASSETS,asr_audit,asset_number,,,,,,,
ASR.AUDIT,2.0,,X,,The asset name code,,,,Asset name code,Asset name code,ASR.NAME.CODE,asr_audit,asset_name_code,,,,,,,
ASR.AUDIT,3.0,,X,,The purchase order number,,,,Purchase order number,Purchase order number,,asr_audit,purchase_order_number,,,,,,,
ASR.AUDIT,4.0,,X,,The asset class code,,,,Asset class code,Asset class code,ASR.CLASS.CODE,asr_audit,asset_class_code,,,,,,,
ASR.AUDIT,5.0,,D,,The date the asset was received by the hospital,,,,Date Received,Date Received,,asr_audit,date_received,,,,,,,
ASR.AUDIT,6.0,,X,,The asset type,,,,Asset type,Asset type,,asr_audit,asset_type,,,,,,,
ASR.AUDIT,7.0,,N2,,The purchase cost,,,,Purchase cost,Purchase cost,,asr_audit,purchase_cost,,,,,,,
ASR.AUDIT,8.0,,X,,The assets serial number,,,,Serial number,Serial number,,asr_audit,serial_number,,,,,,,
ASR.AUDIT,9.0,,X,,The source of funds code,,,,Source of funds code,Source of funds code,FUNDSOURCE,asr_audit,source_of_funds_code,,,,,,,
ASR.AUDIT,10.0,,X,,The manufacturer,,,,Manufacturer,Manufacturer,,asr_audit,manufacturer,,,,,,,
ASR.AUDIT,11.0,,X,,"Type of audit record. This attribute can contain two values. It can be either an A or a D. A means that the record here is as a result of an addition, D a deletion",,,,Addition/Deletion,Addition/Deletion,,asr_audit,addition_deletion,,,,,,,
ASR.AUDIT,12.0,,A,M,Filed by information,,,,Filed By,Filed By,OPERATORS,asr_audit,filed_by,,,,,,,
ASR.BULK.MOVEMENTS,0.1,,X,,Location code,ASR2.S48,1,MULTIPLE ASSET TRANSFER,Existing Location,Existing Location,HOSP.DEPT.WARD,asr_bulk_movements,,,,,,,,
ASR.BULK.MOVEMENTS,0.2,,D,,Transfer date,ASR2.S48,2,MULTIPLE ASSET TRANSFER,Date of Transfer,Date of Transfer,,asr_bulk_movements,,,,,,,,
ASR.BULK.MOVEMENTS,1.0,,A,M,Filed By Information,ASR2.S48,,MULTIPLE ASSET TRANSFER,Filed,Filed,OPERATORS,asr_bulk_movements,filed,,,,,,,
ASR.BULK.MOVEMENTS,2.0,,X,,New Location Code,ASR2.S48,3,MULTIPLE ASSET TRANSFER,New Location,New Location,HOSP.DEPT.WARD,asr_bulk_movements,new_location,,,,,,,
ASR.BULK.MOVEMENTS,3.0,,X,M1,Comments,ASR2.S48,4,MULTIPLE ASSET TRANSFER,Comments,Comments,,asr_bulk_movements,comments,,,,,,,
ASR.BULK.MOVEMENTS,4.0,,X,M2,List of asset nos. which were actually transferred when this record was created,,,MULTIPLE ASSET TRANSFER,Asset Number,Asset Number,ASSETS,asr_bulk_movements,asset_number,,,,,,,
ASR.CLASS.CODE,0.0,,X,,Asset Class Code,ASR2.S12,1,ASSET CLASS CODES,Asset Class Code,Asset Class Code,,asr_class_code,,,,,,,,
ASR.CLASS.CODE,1.0,,X,,Description of the Asset Class code A,ASR2.S12,2,ASSET CLASS CODES,Description,Description,,asr_class_code,description,,,,,,,
ASR.CLASS.CODE,2.0,,A,M,"Date,Time,Account,Operation File Time Info",ASR2.S12,,ASSET CLASS CODES,Filed,Filed,OPERATORS,asr_class_code,filed,,,,,,,
ASR.CLASS.CODE,3.0,,X,,Asset Group To be used as a key for reports on assets.,ASR2.S12,,,Asset Group,Asset Group,,asr_class_code,asset_group,,,,,,,
ASR.CLASS.CODE,4.0,,N2,,Default Rate of Depreciation,ASR2.S12,3,ASSET CLASS CODES,Depreciation Rate Percent,Depreciation Rate %,,asr_class_code,depreciation_rate_percent,,,,,,,
ASR.CLASS.CODE,5.0,,D,,Cease Date,ASR2.S12,4,ASSET CLASS CODES,Cease Date,Cease Date,,asr_class_code,cease_date,,,,,,,
ASR.MOVEMENTS,0.0,,X,,Asset number issued at registration,ASR2.S47,1,PERMANENT ASSET TRANSFER,Asset Number,Asset Number,ASSETS,asr_movements,,,,,,,,
ASR.MOVEMENTS,1.0,,D,M1,Date of owner location transfer  (1st mv most recent),ASR2.S47,5,PERMANENT ASSET TRANSFER,Date of Transfer,Date of Transfer,,asr_movements,date_of_transfer1,,,,,,,
ASR.MOVEMENTS,2.0,,X,M1,Owner Location Code. 1st MV most recent,ASR2.S47,2,PERMANENT ASSET TRANSFER,Owner Location To,Owner Location To,HOSP.DEPT.WARD,asr_movements,owner_location_to,,,,,,,
ASR.MOVEMENTS,3.0,,X,M1,Transfer Authorisation Number 1st MV most recent,ASR2.S47,6,PERMANENT ASSET TRANSFER,Transfer Number,Transfer Number,,asr_movements,transfer_number,,,,,,,
ASR.MOVEMENTS,4.0,,D,M2,Date of Temporary Location Transfer 1st MV most recent,ASR2.S43,3,TEMPORARY ASSET TRANSFER,Date of Transfer,Date of Transfer,,asr_movements,date_of_transfer4,,,,,,,
ASR.MOVEMENTS,5.0,,X,M2,Temporary Location Code 1st MV most recent,ASR2.S43,2,TEMPORARY ASSET TRANSFER,Transfer To,Transfer To,HOSP.DEPT.WARD,asr_movements,transfer_to,,,,,,,
ASR.MOVEMENTS,6.0,,X,M2,Authorisation Information 1st MV most recent,ASR2.S43,4,TEMPORARY ASSET TRANSFER,Authorisation,Authorisation,,asr_movements,authorisation,,,,,,,
ASR.MOVEMENTS,7.0,,X,M2,"Temporary transfer done from screen code T - Temporary , P - Permanent 1st MV most recent",,,,Temporary/Permanent,Temporary/Permanent,,asr_movements,temporary_permanent,,,,,,,
ASR.MOVEMENTS,8.0,,A,M,Filed By Information,ASR2.S47,,PERMANENT ASSET TRANSFER,Filed,Filed,OPERATORS,asr_movements,filed,,,,,,,
ASR.MOVEMENTS,9.0,,X,M3,Asset LOST/FOUND comments. Entered from the LOST/FOUND item entry screen,ASR2.S50,5,LOST AND FOUND ITEM ENTRY,Comments,Comments,,asr_movements,comments,,,,,,,
ASR.NAME.CODE,0.0,,X,,Asset Code,ASR2.S39,1,ASSET NAME CODES,Asset Name Code,Asset Name Code,,asr_name_code,,,,,,,,
ASR.NAME.CODE,1.0,,A,M,Filed By Information,ASR2.S39,,ASSET NAME CODES,Filed,Filed,OPERATORS,asr_name_code,filed,,,,,,,
ASR.NAME.CODE,2.0,,X,,Asset name description,ASR2.S39,2,ASSET NAME CODES,Description,Description,,asr_name_code,description,,,,,,,
ASR.NAME.CODE,3.0,,D,,Cease Date This date is used to disable a code. If the user attempts entry of code on a date GE this date then error,ASR2.S39,3,ASSET NAME CODES,Cease Date,Cease Date,,asr_name_code,cease_date,,,,,,,
ASR.REVALUATION,0.1,,X,,Asset Number,ASR2.S70,1,ASSET REVALUATION,Asset Number,Asset Number,ASSETS,asr_revaluation,,,,,,,,
ASR.REVALUATION,0.2,,D,,Revaluation Date,ASR2.S70,2,ASSET REVALUATION,Revaluation Date,Revaluation Date,,asr_revaluation,,,,,,,,
ASR.REVALUATION,1.0,,N2,,Old Asset Cost,,,,Old Asset Cost,Old Asset Cost,,asr_revaluation,old_asset_cost,,,,,,,
ASR.REVALUATION,2.0,,N4,,New Asset Cost,,,,New Asset Cost,New Asset Cost,,asr_revaluation,new_asset_cost,,,,,,,
ASR.REVALUATION,3.0,,N2,,Amount of Increase in MDV at revaluation,ASR2.S70,3,ASSET REVALUATION,Revaluation Increase,Revaluation Increase,,asr_revaluation,revaluation_increase,,,,,,,
ASR.REVALUATION,4.0,,N2,,Amount of Decrease in MDV at revaluation,ASR2.S70,4,ASSET REVALUATION,Revaluation Decrease,Revaluation Decrease,,asr_revaluation,revaluation_decrease,,,,,,,
ASR.REVALUATION,5.0,,N2,,"Amended ""Cost"" of asset after revaluation",,,,Cost of asset after revaluation,Cost of asset after revaluation,,asr_revaluation,cost_of_asset_after_revaluation,,,,,,,
ASR.REVALUATION,6.0,,N2,,Amended MDV after revaluation,,,,MDV after revaluation,MDV after revaluation,,asr_revaluation,mdv_after_revaluation,,,,,,,
ASR.REVALUATION,7.0,,X,,Basis of Depreciation before Revaluation,,,,Basis of Depreciation before Revaluation,Basis of Depreciation before Revaluation,,asr_revaluation,basis_of_depreciation_before_revaluation,,,,,,,
ASR.REVALUATION,8.0,,X,,Basis of Depreciation after revaluation,ASR2.S70,5,ASSET REVALUATION,New Int Depn Basis,New Int Depn Basis,,asr_revaluation,new_int_depn_basis,,,,,,,
ASR.REVALUATION,9.0,,N2,,Rate of Depreciation before revaluation,,,,Rate of Depreciation before revaluation,Rate of Depreciation before revaluation,,asr_revaluation,rate_of_depreciation_before_revaluation,,,,,,,
ASR.REVALUATION,10.0,,N2,,Rate of Depreciation After %,ASR2.S70,6,ASSET REVALUATION,Rate,Rate %,,asr_revaluation,rate,,,,,,,
ASR.REVALUATION,11.0,,N2,,Estimated Salvage Value before revaluation,,,,Estimated Salvage Value before revaluation,Estimated Salvage Value before revaluation,,asr_revaluation,estimated_salvage_value_before_revaluation,,,,,,,
ASR.REVALUATION,12.0,,N2,,Estimated Salvage Value after revaluation,ASR2.S70,7,ASSET REVALUATION,New Est. Salvage Value,New Est. Salvage Value,,asr_revaluation,new_est_salvage_value,,,,,,,
ASR.REVALUATION,13.0,,D,,Estimated Replacement Date before revaluation,,,,Estimated Replacement Date before revaluation,Estimated Replacement Date before revaluation,,asr_revaluation,estimated_replacement_date_before_revaluation,,,,,,,
ASR.REVALUATION,14.0,,D,,Estimated replacement date after revaluation,ASR2.S70,8,ASSET REVALUATION,New Replacement Date,New Replacement Date,,asr_revaluation,new_replacement_date,,,,,,,
ASR.REVALUATION,15.0,,D,,Depreciation Start date before revaluation,,,,Depreciation Start date before revaluation,Depreciation Start date before revaluation,,asr_revaluation,depreciation_start_date_before_revaluation,,,,,,,
ASR.REVALUATION,16.0,,N2,,Cummulative Value of Revaluation Increases/Decreases before revaluation,,,,Cuml value Before,Cummulative Value of Revaluation Increases/Decreases before revaluation,,asr_revaluation,cuml_value_before,,,,,,,
ASR.REVALUATION,17.0,,D,,Date of Previous Revaluation,,,,Date of Previous Revaluation,Date of Previous Revaluation,,asr_revaluation,date_of_previous_revaluation,,,,,,,
ASR.REVALUATION,18.0,,N2,,Cummulative value of increases/decreases in value after revaluation,,,,Cuml value after ,Cummulative value of increases/decreases in value after revaluation,,asr_revaluation,cuml_value_after,,,,,,,
ASR.REVALUATION,19.0,,X,M1,GL codes to which transactions have been posted,ASR2.S70,9,ASSET REVALUATION,Asset Account,Asset Account,LEDGER,asr_revaluation,asset_account,,,,,,,
ASR.REVALUATION,20.0,,N2,M1,Amounts posted to GL (MV as per previous attribute),ASR2.S70,10,ASSET REVALUATION,Amount,Amount,,asr_revaluation,amount,,,,,,,
ASR.REVALUATION.ERRORS,0.1,,N,,Transaction No,,,,Transaction No,Transaction No,,asr_revaluation_errors,,,,,,,,
ASR.REVALUATION.ERRORS,0.2,,D,,Error details,,,,Error details,Error details,,asr_revaluation_errors,,,,,,,,
ASR.REVALUATION.ERRORS,1.0,,X,,Date,,,,Date,Date,,asr_revaluation_errors,date,,,,,,,
ASR.REVALUATION.ERRORS,2.0,,X,,Error number,,,,Error number,Error number,,asr_revaluation_errors,error_number,,,,,,,
ASR.REVALUATION.ERRORS,3.0,,X,,Error parameters,,,,Error parameters,Error parameters,,asr_revaluation_errors,error_parameters,,,,,,,
ASR.STOCKTAKE,0.0,,X,,The key is the asset number of each asset scanned,,,,Asset No.,Asset No.,,asr_stocktake,,,,,,,,
ASR.STOCKTAKE,1.0,,X,,The physical location of the asset when scanned,,,,Asset Location,Asset Location,HOSP.DEPT.WARD,asr_stocktake,asset_location,,,,,,,
ASR.STOCKTAKE,2.0,,X,,Operator of the PDE device,,,,PDE Device Operator,PDE Device Operator,,asr_stocktake,pde_device_operator,,,,,,,
ASR.STOCKTAKE,3.0,,N,,Port number to run download on Not significant on direct transfer but necessary for remote modem transfers,,,,Download Port No.,Download Port No.,,asr_stocktake,download_port_no,,,,,,,
ASR.STOCKTAKE,4.0,,D,,Date that download process run,,,,Date Downloaded,Date Downloaded,,asr_stocktake,date_downloaded,,,,,,,
ASR.STOCKTAKE,5.0,,T,,Time download process was run,,,,Time Downloaded,Time Downloaded,,asr_stocktake,time_downloaded,,,,,,,
ASSETS,0.0,,X,,Asset Number,ASR2.S1,1,ASSET REGISTRATION,Asset Number,Asset Number,,assets,,,,,,,,
ASSETS,1.0,,X,,Asset Class Code,ASR2.S1,2,ASSET REGISTRATION,Asset Class,Asset Class,ASR.CLASS.CODE,assets,asset_class,,,,,,,
ASSETS,2.0,,X,,Asset Name Code,ASR2.S1,3,ASSET REGISTRATION,Asset Name,Asset Name,ASR.NAME.CODE,assets,asset_name,,,,,,,
ASSETS,3.0,,X,,Purchase Order No,ASR2.S1,4,ASSET REGISTRATION,P/Order Number,P/Order Number,,assets,p_order_number,,,,,,,
ASSETS,4.0,,X,,Supplier Code,ASR2.S1,10,ASSET REGISTRATION,Supplier Code,Supplier Code,SUPPLIER,assets,supplier_code,,,,,,,
ASSETS,5.0,,X,,,,,,,,,assets,attribute5,,,,,,,
ASSETS,6.0,,X,,Model No,ASR2.S1,9,ASSET REGISTRATION,Model Number,Model Number,,assets,model_number,,,,,,,
ASSETS,7.0,,X,,Asset Type,ASR2.S1,5,ASSET REGISTRATION,Asset Type,Asset Type,,assets,asset_type,,,,,,,
ASSETS,8.0,,X,,Serial No,ASR2.S1,7,ASSET REGISTRATION,Serial Number,Serial Number,,assets,serial_number,,,,,,,
ASSETS,9.0,,X,,"Internal Basis of Depreciation D,DE,P or PE",ASR2.S1,19,ASSET REGISTRATION,Int Depn Basis,Int Depn Basis,,assets,int_depn_basis,,,,,,,
ASSETS,10.0,,N2,,Internal Depreciation Rate %,ASR2.S1,20,ASSET REGISTRATION,Internal Depreciation Rate,Rate %,,assets,internal_depreciation_rate,,,,,,,
ASSETS,11.0,,N2,,Taxation Depreciation Rate %,ASR2.S1,22,ASSET REGISTRATION,Taxation Depreciation Rate,Rate %,,assets,taxation_depreciation_rate,,,,,,,
ASSETS,12.0,,N2,,Written down Value when the asset is Condemned,,,,Written down Value of Condemned Asset,Written down Value of Condemned Asset,,assets,written_down_value_of_condemned_asset,,,,,,,
ASSETS,13.0,,X,M1,"Dr Ledger Code. This attribute and attributes 1,2 and 3 of ASR.MOVEMENTS are associated",ASR2.S1,23,ASSET REGISTRATION,G/L Account DR,G/L Account DR,LEDGER,assets,g_l_account_dr,,,,,,,
ASSETS,14.0,,X,,Cr Ledger Code,ASR2.S1,24,ASSET REGISTRATION,G/L Account CR,G/L Account CR,LEDGER,assets,g_l_account_cr,,,,,,,
ASSETS,15.0,,D,,Sale Date,ASR2.S3,4,ASSET DISPOSAL/SALE,Date of Sale,Date of Sale,,assets,date_of_sale,,,,,,,
ASSETS,16.0,,X,,Source of Funds,ASR2.S1,17,ASSET REGISTRATION,Source of Funds,Source of Funds,FUNDSOURCE,assets,source_of_funds,,,,,,,
ASSETS,17.0,,N2,,Estimated Replacement Cost,,,,Estimated Replacement Cost,Estimated Replacement Cost,,assets,estimated_replacement_cost,,,,,,,
ASSETS,18.0,,D,,Estimation Date,,,,Estimation Date,Estimation Date,,assets,estimation_date,,,,,,,
ASSETS,19.0,,N2,,Estimated Salvage Value,ASR2.S1,25,ASSET REGISTRATION,Est. Salvage  Dollar,Est. Salvage  $,,assets,est_salvage_dollar,,,,,,,
ASSETS,20.0,,D,,Replacement Due date,ASR2.S1,26,ASSET REGISTRATION,Replacement Date,Replacement Date,,assets,replacement_date,,,,,,,
ASSETS,21.0,,X,,Maintainance Contract,,,,Maintainance Contract,Maintainance Contract,,assets,maintainance_contract,,,,,,,
ASSETS,22.0,,X,,Period of Maintenance Contract,,,,Period of Maintenance Contract,Period of Maintenance Contract,,assets,period_of_maintenance_contract,,,,,,,
ASSETS,23.0,,X,,Balance Sheet Classification,ASR2.S1,27,ASSET REGISTRATION,Bal. Sheet Cl.,Bal. Sheet Cl.,BALSHEET,assets,bal_sheet_cl,,,,,,,
ASSETS,24.0,,X,,Cost Centre,,,,Cost Centre,Cost Centre,CENTRES,assets,cost_centre,,,,,,,
ASSETS,25.0,,X,,,,,,,,,assets,attribute25,,,,,,,
ASSETS,26.0,,X,,Manufacturer,ASR2.S1,11,ASSET REGISTRATION,Manufacturer,Manufacturer,,assets,manufacturer,,,,,,,
